LOCALIDAD	CIUDAD_BASE	LATITUD	LONGITUD	DEMANDA_PALLETS_ANUAL	POBLACION_ESTIMADA	TIPO_LOCALIDAD	CLASIFICACION_ABC	REGION	ZONA_GEOGRAFICA	DENSIDAD_DEMANDA
Zona Comercial 1	Arequipa	-16.349402	-71.515014	909	7641	Comercial	C	Sur	Selva	0.12
La Esperanza 2	Cusco	-13.341089	-72.668255	71	1050	Rural	C	Sur	Selva	0.07
Anexo Industrial 3	Chimbote	-8.715089	-78.538509	683	7375	Urbano	C	Centro	Costa	0.09
Sector Este 4	Arequipa	-16.280557	-71.66128	398	4616	Urbano	C	Sur	Selva	0.09
Las Flores 5	Cusco	-13.575253	-72.723869	99	1059	Rural	C	Sur	Selva	0.09
Las Mercedes 6	Lima	-12.098877	-77.44772	174	1995	Rural	C	Centro	Costa	0.09
Santa Nuevo 7	Lima	-12.182277	-76.939186	127	1520	Urbano	C	Centro	Costa	0.08
Distrito Industrial 8	Arequipa	-16.181591	-71.444401	435	4474	Urbano	C	Sur	Selva	0.1
Anexo Chico 9	Lima	-12.088778	-77.134022	382	3807	Urbano	C	Centro	Costa	0.1
Barrio Grande 10	Lima	-12.367867	-77.071755	2365	25457	Urbano	B	Centro	Costa	0.09
Anexo Bajo 11	Lima	-11.962883	-76.921875	1537	19300	Urbano	B	Centro	Costa	0.08
Centro Este 12	Cusco	-13.727817	-72.016909	819	10386	Urbano	C	Sur	Selva	0.08
Caserío Chico 13	Chiclayo	-6.740102	-79.881331	216	2115	Urbano	C	Norte	Costa	0.1
San Oeste 14	Piura	-5.217378	-80.757988	1704	24316	Urbano	B	Norte	Costa	0.07
Las Mercedes 15	Trujillo	-8.492642	-78.937626	21	306	Rural	C	Centro	Costa	0.07
Zona Industrial 16	Lima	-11.825778	-76.912297	835	10382	Urbano	C	Centro	Costa	0.08
Sector Oeste 17	Cusco	-13.346135	-71.952696	286	2744	Urbano	C	Sur	Selva	0.1
San Este 18	Arequipa	-16.545051	-71.522178	448	5104	Urbano	C	Sur	Selva	0.09
Urbanización Oeste 19	Lima	-12.190371	-77.159133	100	845	Urbano	C	Centro	Costa	0.12
El Milagro 20	Lima	-11.85132	-77.406166	318	4764	Rural	C	Centro	Costa	0.07
Anexo Nuevo 21	Chiclayo	-7.007257	-79.924645	528	4759	Urbano	C	Norte	Costa	0.11
Zona Grande 22	Pucallpa	-8.316489	-74.44338	955	9228	Urbano	C	Centro	Sierra	0.1
Zona Comercial 23	Trujillo	-8.136408	-78.957769	769	8887	Comercial	C	Centro	Costa	0.09
Las Mercedes 24	Piura	-5.351663	-80.901372	131	1700	Rural	C	Norte	Costa	0.08
La Esperanza 25	Lima	-12.372478	-76.869132	167	1496	Rural	C	Centro	Costa	0.11
Urbanización Chico 26	Piura	-5.178901	-80.556025	548	5260	Urbano	C	Norte	Costa	0.1
Sector Este 27	Trujillo	-7.720228	-78.758075	2209	20589	Urbano	B	Norte	Costa	0.11
La Esperanza 28	Piura	-4.824463	-80.717025	104	1478	Rural	C	Norte	Costa	0.07
Sector Oeste 29	Lima	-11.855685	-77.002332	820	10531	Urbano	C	Centro	Costa	0.08
Distrito Este 30	Piura	-5.262335	-80.533376	154	1932	Urbano	C	Norte	Costa	0.08
Villa Alto 31	Chiclayo	-6.960657	-79.887341	228	3376	Urbano	C	Norte	Costa	0.07
San Central 32	Chimbote	-9.132714	-78.52753	249	3157	Urbano	C	Centro	Costa	0.08
Anexo Chico 33	Lima	-12.019202	-76.932799	100	1418	Urbano	C	Centro	Costa	0.07
Pueblo Central 34	Huancayo	-12.04962	-75.179292	496	7371	Urbano	C	Centro	Sierra	0.07
Barrio Sur 35	Lima	-12.051931	-77.091469	2478	35956	Urbano	B	Centro	Costa	0.07
Zona Comercial 36	Chiclayo	-6.849572	-79.833024	838	11850	Comercial	C	Norte	Costa	0.07
Los Angeles 37	Piura	-5.009329	-80.758175	222	3034	Rural	C	Norte	Costa	0.07
Barrio Industrial 38	Chiclayo	-7.143571	-79.787801	322	3013	Urbano	C	Norte	Costa	0.11
Zona Nuevo 39	Chimbote	-9.045177	-78.606506	157	1426	Urbano	C	Centro	Costa	0.11
Centro Norte 40	Cusco	-13.795853	-72.044682	2812	33067	Urbano	B	Sur	Selva	0.09
Villa Bajo 41	Cusco	-13.260399	-71.983585	415	4514	Urbano	C	Sur	Selva	0.09
Barrio Este 42	Lima	-11.766168	-76.957852	1125	9323	Urbano	B	Centro	Costa	0.12
Urbanización Nuevo 43	Arequipa	-16.690973	-71.268385	1219	13241	Urbano	B	Sur	Selva	0.09
Centro Norte 44	Lima	-12.02786	-76.957852	1879	23715	Urbano	B	Centro	Costa	0.08
Bella Vista 45	Huancayo	-12.021871	-75.107704	19	199	Rural	C	Centro	Sierra	0.1
Pueblo Central 46	Lima	-12.245545	-77.239827	372	3786	Urbano	C	Centro	Costa	0.1
Urbanización Alto 47	Trujillo	-8.11905	-79.039873	491	5297	Urbano	C	Centro	Costa	0.09
San Grande 48	Chiclayo	-6.811107	-79.788607	148	1705	Urbano	C	Norte	Costa	0.09
Barrio Industrial 49	Chiclayo	-6.983527	-79.782009	723	10542	Urbano	C	Norte	Costa	0.07
El Milagro 50	Arequipa	-16.435435	-71.495064	61	890	Rural	C	Sur	Selva	0.07
Las Flores 51	Cusco	-13.816659	-72.176792	52	430	Rural	C	Sur	Selva	0.12
Santa Este 52	Piura	-5.26502	-80.480781	145	1183	Urbano	C	Norte	Costa	0.12
Sector Oeste 53	Lima	-11.969217	-76.993486	1027	13992	Urbano	B	Centro	Costa	0.07
Las Flores 54	Lima	-11.744869	-76.24816	160	1742	Rural	C	Centro	Costa	0.09
Villa Chico 55	Lima	-11.87969	-77.019465	1664	21930	Urbano	B	Centro	Costa	0.08
Villa Norte 56	Arequipa	-16.400192	-71.57701	175	1764	Urbano	C	Sur	Selva	0.1
Zona Comercial 57	Lima	-11.96448	-77.072563	1191	13550	Comercial	B	Centro	Costa	0.09
Centro Oeste 58	Trujillo	-8.315131	-78.990984	917	10890	Urbano	C	Centro	Costa	0.08
Los Angeles 59	Huancayo	-12.489415	-74.692441	552	8158	Rural	C	Centro	Sierra	0.07
Las Flores 60	Iquitos	-4.191361	-73.724089	134	1729	Rural	C	Norte	Sierra	0.08
Buenos Aires 61	Arequipa	-16.764493	-71.523357	140	1965	Rural	C	Sur	Selva	0.07
Zona Comercial 62	Cusco	-13.356307	-71.912699	500	5316	Comercial	C	Sur	Selva	0.09
Las Flores 63	Lima	-11.995198	-77.109397	66	744	Rural	C	Centro	Costa	0.09
La Esperanza 64	Piura	-4.872236	-80.4042	89	1136	Rural	C	Norte	Costa	0.08
Villa Este 65	Huancayo	-12.154312	-75.038853	870	7409	Urbano	C	Centro	Sierra	0.12
Centro Alto 66	Huancayo	-12.020005	-75.12984	675	7547	Urbano	C	Centro	Sierra	0.09
Zona Comercial 67	Chiclayo	-6.898389	-79.883089	6322	62851	Comercial	A	Norte	Costa	0.1
Sector Oeste 68	Lima	-12.102792	-77.011139	252	2153	Urbano	C	Centro	Costa	0.12
Buenos Aires 69	Pucallpa	-8.351725	-74.723209	159	1452	Rural	C	Centro	Sierra	0.11
Zona Comercial 70	Lima	-12.063237	-77.026413	2383	34396	Comercial	B	Centro	Costa	0.07
Las Mercedes 71	Lima	-12.001209	-77.381958	364	4135	Rural	C	Centro	Costa	0.09
San Sur 72	Lima	-12.091831	-76.761751	388	5391	Urbano	C	Centro	Costa	0.07
Villa Central 73	Lima	-12.375619	-77.257966	1003	13289	Urbano	B	Centro	Costa	0.08
Los Angeles 74	Chiclayo	-6.520497	-79.945115	608	5890	Rural	C	Norte	Costa	0.1
Zona Comercial 75	Lima	-12.024855	-77.102253	2561	26908	Comercial	B	Centro	Costa	0.1
La Esperanza 76	Lima	-12.028652	-76.782871	420	4889	Rural	C	Centro	Costa	0.09
Zona Comercial 77	Cusco	-13.639913	-71.902495	698	7638	Comercial	C	Sur	Selva	0.09
Las Flores 78	Iquitos	-3.449129	-72.794395	1140	14045	Rural	B	Norte	Selva	0.08
Barrio Industrial 79	Arequipa	-16.439885	-71.558586	481	5578	Urbano	C	Sur	Selva	0.09
San Nuevo 80	Lima	-11.968828	-76.918572	1573	17641	Urbano	B	Centro	Costa	0.09
Caserío Este 81	Iquitos	-4.000752	-73.199701	167	2013	Urbano	C	Norte	Sierra	0.08
Pueblo Grande 82	Trujillo	-8.083813	-79.067752	322	4148	Urbano	C	Centro	Costa	0.08
Centro Central 83	Piura	-5.022677	-80.627075	728	6964	Urbano	C	Norte	Costa	0.1
Anexo Nuevo 84	Arequipa	-16.676297	-71.516653	1015	11917	Urbano	B	Sur	Selva	0.09
Barrio Viejo 85	Chimbote	-9.140885	-78.652728	632	8098	Urbano	C	Centro	Costa	0.08
Pueblo Grande 86	Chimbote	-9.163736	-78.453846	225	2978	Urbano	C	Centro	Costa	0.08
Buenos Aires 87	Trujillo	-8.232536	-79.062676	210	2995	Rural	C	Centro	Costa	0.07
Sector Bajo 88	Piura	-5.027722	-80.688872	203	2188	Urbano	C	Norte	Costa	0.09
Pueblo Chico 89	Arequipa	-16.46812	-71.655083	262	3729	Urbano	C	Sur	Selva	0.07
Las Flores 90	Piura	-5.195861	-81.104912	63	740	Rural	C	Norte	Costa	0.09
Caserío Grande 91	Trujillo	-8.091579	-79.076165	1562	19139	Urbano	B	Centro	Costa	0.08
Zona Bajo 92	Trujillo	-7.890753	-79.391533	470	4501	Urbano	C	Norte	Costa	0.1
Las Mercedes 93	Trujillo	-8.585921	-78.729595	107	1543	Rural	C	Centro	Costa	0.07
Caserío Grande 94	Cusco	-13.674333	-71.902134	1977	28677	Urbano	B	Sur	Selva	0.07
La Esperanza 95	Trujillo	-8.402617	-78.391178	36	473	Rural	C	Centro	Costa	0.08
La Esperanza 96	Lima	-12.240561	-76.971339	170	1543	Rural	C	Centro	Costa	0.11
Barrio Sur 97	Arequipa	-16.448939	-71.552218	7305	68755	Urbano	A	Sur	Selva	0.11
Zona Bajo 98	Lima	-12.456356	-77.221299	7192	81357	Urbano	A	Centro	Costa	0.09
Santa Industrial 99	Iquitos	-3.59266	-73.146617	1511	22569	Urbano	B	Norte	Sierra	0.07
Zona Comercial 100	Arequipa	-16.351902	-71.668025	976	13147	Comercial	C	Sur	Selva	0.07
Buenos Aires 101	Cusco	-13.239506	-71.642097	50	621	Rural	C	Sur	Selva	0.08
Buenos Aires 102	Arequipa	-16.494015	-71.220912	45	498	Rural	C	Sur	Selva	0.09
Las Flores 103	Chimbote	-9.040191	-78.637021	14	150	Rural	C	Centro	Costa	0.09
Zona Comercial 104	Trujillo	-8.090574	-79.125123	2434	35484	Comercial	B	Centro	Costa	0.07
Pueblo Alto 105	Chiclayo	-6.92553	-79.713763	1421	20259	Urbano	B	Norte	Costa	0.07
Las Flores 106	Iquitos	-3.481218	-73.616675	871	8215	Rural	C	Norte	Sierra	0.11
Bella Vista 107	Iquitos	-3.890133	-72.925577	68	923	Rural	C	Norte	Selva	0.07
Pueblo Oeste 108	Trujillo	-8.004257	-79.365549	205	2498	Urbano	C	Centro	Costa	0.08
Urbanización Viejo 109	Piura	-5.053426	-80.372463	161	1765	Urbano	C	Norte	Costa	0.09
Anexo Viejo 110	Lima	-12.044188	-77.000371	294	2389	Urbano	C	Centro	Costa	0.12
Urbanización Chico 111	Chimbote	-8.997854	-78.370361	257	3092	Urbano	C	Centro	Costa	0.08
Buenos Aires 112	Arequipa	-15.875737	-71.034237	144	1606	Rural	C	Sur	Selva	0.09
Centro Chico 113	Lima	-12.17998	-76.895347	151	1448	Urbano	C	Centro	Costa	0.1
Pueblo Chico 114	Piura	-5.074811	-80.593386	177	1557	Urbano	C	Norte	Costa	0.11
Zona Comercial 115	Cusco	-13.538785	-71.971344	1247	10262	Comercial	B	Sur	Selva	0.12
San Norte 116	Chimbote	-9.04565	-78.728934	1686	13887	Urbano	B	Centro	Costa	0.12
Pueblo Alto 117	Iquitos	-3.864058	-73.365246	1135	12726	Urbano	B	Norte	Sierra	0.09
Distrito Este 118	Cusco	-13.666521	-72.04626	676	6874	Urbano	C	Sur	Selva	0.1
Las Flores 119	Lima	-12.333042	-77.34748	87	1039	Rural	C	Centro	Costa	0.08
Buenos Aires 120	Lima	-12.022229	-77.012663	52	591	Rural	C	Centro	Costa	0.09
Santa Industrial 121	Trujillo	-8.251951	-78.866854	555	5491	Urbano	C	Centro	Costa	0.1
Zona Comercial 122	Cusco	-13.452432	-71.878541	1672	18151	Comercial	B	Sur	Selva	0.09
Villa Norte 123	Trujillo	-8.244097	-79.027831	100	1198	Urbano	C	Centro	Costa	0.08
Buenos Aires 124	Trujillo	-7.816289	-78.25445	247	3018	Rural	C	Norte	Costa	0.08
Distrito Norte 125	Cusco	-13.466765	-72.090959	1355	10963	Urbano	B	Sur	Selva	0.12
Santa Norte 126	Lima	-12.182731	-77.011375	458	5015	Urbano	C	Centro	Costa	0.09
Zona Chico 127	Cusco	-13.628573	-72.013403	102	1261	Urbano	C	Sur	Selva	0.08
Urbanización Grande 128	Arequipa	-16.154939	-71.427418	1376	12357	Urbano	B	Sur	Selva	0.11
Sector Bajo 129	Pucallpa	-8.51925	-74.55572	5124	66058	Urbano	A	Centro	Sierra	0.08
Las Flores 130	Lima	-12.115238	-77.430734	98	1401	Rural	C	Centro	Costa	0.07
Sector Alto 131	Lima	-11.841583	-77.220497	100	1187	Urbano	C	Centro	Costa	0.08
Zona Viejo 132	Cusco	-13.873338	-72.13145	1289	18432	Urbano	B	Sur	Selva	0.07
Las Flores 133	Chiclayo	-6.61469	-80.161426	76	811	Rural	C	Norte	Costa	0.09
