LOCALIDAD	CIUDAD_BASE	LATITUD	LONGITUD	DEMANDA_PALLETS_ANUAL	POBLACION_ESTIMADA	TIPO_LOCALIDAD	CLASIFICACION_ABC	REGION	ZONA_GEOGRAFICA	DENSIDAD_DEMANDA
Zona Comercial Industrial 1	Cuenca	-2.859565	-79.04742	3319	615	Comercial	A	Azuay	Sierra	0.1
Distrito Nuevo 2	Barranquilla	10.967937	-74.735563	1295	16823	Urbano	B	Atlántico	Caribe	0.14
Anexo Industrial 3	Arequipa	-16.4113	-71.485478	695	6681	Urbano	C	Arequipa	Sierra	0.05
Centro Alto 4	Huancayo	-12.02279	-75.284562	16	234	Rural	C	Junín	Sierra	0.12
Pueblo Alto 5	Iquitos	-3.719347	-73.247671	2298	518	Comercial	A	Loreto	Selva	0.12
Distrito Este 6	Huancayo	-12.059556	-75.168665	1960	19378	Urbano	B	Junín	Sierra	0.08
Zona Comercial Nuevo 7	Barranquilla	10.930574	-74.786426	321	5446	Urbano	C	Atlántico	Caribe	0.08
Zona Comercial Grande 8	Lima	-12.050678	-77.072989	828	10890	Urbano	B	Lima	Costa	0.14
Centro Chico 9	Cali	3.518856	-76.643546	6543	89302	Urbano	A	Valle del Cauca	Pacífico	0.08
Villa Este 10	Cartagena	10.450679	-75.463364	2748	164	Comercial	A	Bolívar	Caribe	0.12
Sector Chico 11	Huancayo	-12.059774	-75.138087	9519	110351	Urbano	A	Junín	Sierra	0.06
Urbanización Chico 12	Quito	-0.204496	-78.476652	3399	35083	Urbano	A	Pichincha	Sierra	0.08
Villa Industrial 13	Huancayo	-12.123624	-75.13621	868	16266	Urbano	B	Junín	Sierra	0.05
Villa Grande 14	El Alto	-16.593128	-68.273913	70	2338	Rural	C	La Paz	Altiplano	0.05
Distrito Sur 15	Santa Cruz	-17.784511	-63.191784	2229	32475	Urbano	A	Santa Cruz	Llanos	0.14
Pueblo Nuevo 16	Cali	3.486804	-76.620269	3027	44445	Urbano	A	Valle del Cauca	Pacífico	0.1
Zona Comercial Nuevo 17	Manta	-0.970364	-80.772616	3372	623	Comercial	A	Manabí	Costa	0.12
Pueblo Industrial 18	Iquitos	-3.669829	-73.270586	83	1319	Rural	C	Loreto	Selva	0.09
Anexo Sur 19	Cuenca	-2.934447	-79.009634	2124	390	Comercial	A	Azuay	Sierra	0.12
Barrio Bajo 20	Cuenca	-2.98401	-78.993593	2779	590	Comercial	A	Azuay	Sierra	0.12
Urbanización Alto 21	Huancayo	-12.07377	-75.104241	951	8116	Urbano	B	Junín	Sierra	0.13
Anexo Bajo 22	Barranquilla	10.935651	-74.759586	4429	97	Comercial	A	Atlántico	Caribe	0.11
Sector Industrial 23	Lima	-12.041635	-77.046407	716	7319	Urbano	C	Lima	Costa	0.14
